Cert Name,Cost,Time (hrs),Avg Salary of Reciever,Number of Holders
CISSP (Certified Information Systems Security Professional),$699 ,40-50,"$122,138 ",92976
CISA (Certified Information Systems Auditor),$595 ,112,"$132,278 ",150000
CISM (Certified Information Security Manager),$760 ,40-50,"$148,622 ",50000
Security+,$370 ,45,"$72,244 ",500000
CEH (Certified Ethical Hacker),"$1,199 ",70-75,"$104,813 ",79617
GSEC (GIAC Security Essentials Certification),"$2,499 ",55,"$79,733 ",37106
SSCP (Systems Security Certified Practitioner),$250 ,,"$51,826 ",4192
CASP (CompTIA Advanced Security Practitioner),$466 ,,"$91,000 ",
GCIH (GIAC Certified Incident Handler),"$2,499 ",60,"$130,410 ",25546
OSCP (Offensive Security Professional),$999 ,240,"$93,300 ",20000
CRISC (Certified in Risk and Information Systems Control),$725 ,63,"$146,480 ",26000
AWS Certified Security,$300 ,,"$113,766 ",
CCSP (Certified Cloud Security Professional),$599 ,40-60,"$114,172 ",5114
CySA (Cybersecurity Analyst),$370 ,35-40,"$74,952 ",
"PCSE (Google Cloud Certified, Professional Cloud Security Engineer) ",$200 , ,"$136,055 ",
HCISPP (HealthCare Information Security and Privacy Practitioner),$599 ,40-50,"$127,500 ",1284
CopmTIA Pen Test+,$370 ,50-60,"$99,730 ",
CCSK (Certificate of Cloud Security Knowledge),$395 ,,"$60,550 ",
ECSA (EC-Certified Security Analyst),$999 ,,"$98,000 ",
GPEN (GIAC Penetration Tester),"$2,499 ",,"$120,000 ",
CCFP (Certified Cyber Forensics Professional),$549 ,,"$70,000 ",
CAP (Certified Authorized Professionals),$695 ,,"$69,000 ",3892
CCS (Cisco Cybersecurity Specialist),$399 ,,"$57,417 ",
CCNA (Cisco Certified Network Administrator),$325 ,100-150,"$99,510 ",
JNCIP (Juniper Networks Certified Professional Security),$400 ,50-60,"$77,000 ",
CIPM (Certified Information Privacy Manager),$550 ,,"$130,000 ",2300
CCISO (Certified Chief Information Security Officer),$999 ,,"$137,800 ",
GSE (GIAC Security Expert),"$2,499 ",,"$82,000 ",258
GCFA (GIAC Certified Forensics Analyst),"$2,499 ",,"$95,000 ",18912
GICSP (GIAC Industrial Cyber Security Profesionals),"$2,499 ",,"$105,000 ",3787
GCIA (GIAC Certified Intrusion Analyst),"$2,499 ",,"$99,000 ",15515
GSLC (GIAC Security Leadership Certification),"$2,499 ",,"$113,000 ",11453
CCNP (Cisco Certified Network Professional),$900 ,,"$97,000 ",
CCSP (Cisco Certified Security Professional),$599 ,,"$114,000 ",5114
CIPP (Certified Information Privacy Professionals),$550 ,,"$125,000 ",
CSSLP (Certified Secure Software Lifecycle Professional),$599 ,,"$111,198 ",1855
ITPM (Insider Threat Program Manager),"$3,000 ",,"$100,000 ",
ITVA (Insider Threat Vulnerability Assessment),"$3,000 ",,"$107,000 ",
ITPE (Insider Threat Program Evaluator),"$3,000 ",,"$100,000 ",
CND (Certified Network Defender),$550 ,,"$98,552 ",
CNDA (Certified Network Defense Architect),$200 ,,"$97,000 ",
GCIH (GIAC Certified Incident Handler),"$2,499 ",,"$88,500 ",41007
ECES (Certified Encryption Specialist),$349 ,,"$75,000 ",
CHFI (Computer Hacking Forensic Investigator),$650 ,,"$88,000 ",
LPT (Licensed Penetration Tester),$500 ,,"$86,000 ",
ECSP (Certified Secure Programmer),$750 ,,"$97,000 ",
EDRP (Disaster Recovery Professionals),$350 ,,"$79,000 ",
CSCU (Certified Secure Computer User),$125 ,,,
ECSS (Certified Security Specialist),$249 ,,,
CEPT (Certified Expert Penetration Tester),$499 ,,"$115,000 ",
CASS (Certified Application Security Specialist),$499 ,,"$107,000 ",
CSSA ( Certified SCADA Security Architect),$499 ,,"$87,000 ",
CREA (Certified Reverse Engineering Analyst),$499 ,,"$84,000 ",
CPT (Certified Penetration Tester),$499 ,,"$84,690 ",
CDRP (Certified Data Recovery Professionals),$499 ,,"$85,000 ",
