Title,Company,Location,Links,Salary,Description
Senior Software Engineer Security and Authentication,MathWorks,"Natick, MA 01760",https://indeed.com/viewjob?jk=dedaae73a1bb2555,None,"We are looking for a highly motivated work-from-home solutions sales professional to drive continued high growth in our successful Cyber security small business sales. Your mission will be to grow our services, managed security services and product sales to small business customers and prospects.
Responsibilities will include selling security solutions comprised of high margin professional & managed security services and complementary security products. This sales position is a work from home position with a national territory. You will inherit multiple current customer accounts to build on for your territory.
This is a challenging and rewarding sales opportunity with an opportunity to really make an impact. The ability to move and grow with our company is definitely a benefit of working at eSecurity Solutions. We are a team of overachievers who thrive in a fast-paced environment and have achieved very high growth in the hot IT security industry.
eSecurity Solutions leverages its relationship with the industry’s leading security product manufacturers, and then adds its own security compliance managed security and professional services nationally. Our sales staff provides knowledgeable consultative solutions leveraging a strong local and national marketing, and top-tier vendor relationships. Check us out at http://www.eSecuritySolutions.com
Sales Objectives
Manage and grow the current customer base of SMB customers.
Proactively generate new opportunities by regularly calling current customers, leads, database prospects, and targeted company call-outs
Convert customers into full-cycle customers (who buy managed services, assessments & products) - Up-sell / cross-sell
Position eSecurity Solutions as a security expert and trusted adviser
Manage customer services, license, support and contract renewals
Evangelized sales of advanced compliance level security solutions (including risk Assessments, 24x7 managed security services, and security products)
Desired Skills
1-3 Years experience selling products and services
Smart, driven, success oriented
Can work effectively from home
Exposure to IT or cyber security industry is a plus
Another plus would be experience with professional or managed monthly services
Solution selling customer relationship experience
Strong Selling and written and oral communications skills
Great organization & time management skills
Ability to up-sell and cross-sell
Ability to learn and sell technology solutions
Ability to market to and nurture current and new customers
Strong closing skills
Strong computer and application skills and ability to effectively and efficiently use the PC to plan, generate quotes, track and manage customers and prospects in CRM system.
Strong team player
Good decision maker
High energy, highly motivated -- Motivated by achievement, accomplishment and success
Strong work ethic, stable and reliable
Job Type: Full-time
Pay: $50,000.00 - $125,372.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Day shift
Monday to Friday
Supplemental Pay:
Commission pay
COVID-19 considerations:
All Employees are Work From Home
Education:
Bachelor's (Required)
Experience:
B2B Sales: 1 year (Required)
Technology industry: 1 year (Preferred)
Shift availability:
Day Shift (Required)
Work Location:
Fully Remote
Work Location: Remote"
None,Citizens,"Greenville, RI 02828",https://indeed.com/viewjob?jk=8b0ad10599f3a304,None,"Job Description:
Are you looking for a new and exciting career opportunity?
Join our award-winning organization and work with some of the most talented minds within our Enterprise Technology and Innovation teams. As a Salient CRGT employee, you get to be part of a best performing team supporting our nation’s most critical missions.

Why Salient CRGT?
We’re passionate about the inspirational missions of our customers and we entrust our employees and teams to deliver exceptional performance to enable the safety, security, health and well-being of our nation. We provide the tools and resources to help you be successful, and our culture fosters an environment in which idea sharing and collaboration is essential. Are you ready to make a difference?

In this role you will:
Provide Information Assurance support to Government client. Support the development of security documentation including System Security Plans (SSP) and Security Controls in accordance with NIST publications and the Risk Management Framework leading to system Authorization to Operate (ATO). Work with system owners to address POA&M and continual system security evaluation processes and finding. Interface with internal and external agency security personnel to establish and maintain Interagency Security Agreements (ISAs).
Track system interconnection security documentation in support of the System Owner. There are roughly 175+ interconnections requiring memorandum of agreement (MOU) and interconnection security agreement (ISA) documentation. Responsible for ensuring all interconnections are covered by appropriate and up-to-date ISA documentation by initiating and developing ISAs for all new connections or connections requiring ISA renewals. Will work closely with the internal Federal Customers and External Agency ISA Coordinators to assist with the coordination and approval of ISA documentation.
Provide technical expertise to the design, development of Case Processing applications that will implement required information security policies and procedures.
Devise and conduct risk assessment programs to identify areas of potential vulnerability for all applications within this agency’s application suite.
Interpret and evaluate proposed legislation and broad-based policies concerning information technology. Assesses potential impact on existing program requirements working with Case Processing System Analysts.
Evaluate the feasibility of implementing new developments to enhance systems security and reliability and Analyze findings and develop long-range plans to minimize risks, mitigate vulnerabilities, prevent security incidents, and insure systems reliability across supported systems.
Develops, recommends, and implements approved security contingency plans, incident response plans, and disaster recovery procedures for the Case Processing applications.
Coordinates with network security and application teams in determining Intrusion Detection Systems/Intrusion Protection Systems (IDS/IPS), Firewall, Security Proxy, Email Security, and Vulnerability Scanning Solutions that will be used with Case Processing.
Work with project teams to collect evidence and remediate findings.
Work with Information Security Specialists, Network Support personnel, System Administration personnel and others to access system security posture and remediate vulnerabilities CRGT123

Salary Requirements:
$120,000 - $140,000
Required Qualifications:
Bachelor's degree with 8+ years of total Information Technology experience, with 3 years Information Assurance experience
Understanding of Risk Management Framework and supporting NIST Publications including FIPS 199 & 200, SP 800-53, 800-70, 800-37
Experience supporting system owners in the A&A process including development of System Security Plan (SSP) and Security Controls from SP 800-53
Experience working with system owners to address POA&M deficiencies. Support remediation activities for system vulnerabilities and Plan of Action and Milestones (POA&Ms).
A Certified Information System Security Professional (CISSP) certification is preferred. A in progress CISSP may be accepted with other supporting certifications.

Desired Qualifications:

Salient CRGT is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, age, sex, sexual orientation, gender identity or expression, veteran status, disability, genetic information, or any other factor prohibited by applicable anti-discrimination laws."
"2021745 Cyber Security Analysts $215,000.00",B4CORP,"Reston, VA",https://indeed.com/viewjob?jk=407b2677aa6ccc25,"Up to $215,000 a year","US CITIZENSHIP REQUIRED FOR THIS POSITION: Yes
RELOCATION ASSISTANCE: No relocation assistance available
CLEARANCE TYPE: Secret
TRAVEL: Yes, 10% of the Time
Description
Join Northrop Grumman on our continued mission to push the boundaries of possible across land, sea, air, space, and cyberspace. Enjoy a culture where your voice is valued and start contributing to our team of passionate professionals providing real-life solutions to our world’s biggest challenges. We take pride in creating purposeful work and allowing our employees to grow and achieve their goals every day by Defining Possible. With our competitive pay and comprehensive benefits, we have the right opportunities to fit your life and launch your career today.
Northrop Grumman is seeking Information Systems Security Professionals at our Linthicum, MD location. As an Information Systems Security Professional, you will perform the following:
Assessments of systems and networks within the networking environment or enclave and identify where those systems and networks deviate from acceptable configurations, enclave policy, or local policy. This is achieved through passive evaluations such as compliance audits and active evaluations such as vulnerability assessments.
Establishes strict program control processes to ensure mitigation of risks and supports obtaining certification and accreditation of systems.
Includes support of process, analysis, coordination, security certification test, security documentation, as well as investigations, software research, hardware introduction and release, emerging technology research inspections and periodic audits.
Assist in the implementation of the required government policy (i.e., NISPOM), make recommendations on process tailoring, participate in and document process activities.
Perform analyses to validate established security requirements and to recommend additional security requirements and safeguards.
Support the formal Security Test and Evaluation (ST&E) required by each government accrediting authority through pre-test preparations, participation in the tests, analysis of the results and preparation of required reports.
Coordinate and prepare the Body of Evidence for Accreditation and Authorization activities and update and report on the Plan of Actions and Milestones POA&M as required.
Support validation of Continuous Monitor activities and monitor corrective actions until all actions are closed.
Basic Qualifications:
Must have, at minimum, a relevant Master’s or Bachelor’s degree with 0 years of experience; OR an Associate's Degree with 2 years of experience OR a High School Diploma/GED with 4 years of experience is required
Must have a DoD 8570 IAM level I security certification (examples: CAP, CND, Cloud+, GSLC, or Security+ CE, HCISPP); OR must have the ability to obtain one within 6 months of start date
Candidates m ust have the ability to obtain a DoD Interim Secret security clearance
Preferred Qualifications:
The ideal candidate will have a Bachelor’s degree in Cyber Security, an IAM I compliant certification, and 1 year of experience with Certification and Accreditation of classified systems and Risk Management Framework
Knowledge of ACAS, NESSUS, SPLUNK, SCAP, POA&Ms, NIST, NISPOM, system audits, vulnerability scanning, and RMF package development preferred
Salary Range: $63,800.00 - $95,800.00
Employees may be eligible for a discretionary bonus in addition to base pay . Annual bonuses are designed to reward individual contributions as well as allow employees to share in company results. Employees in Vice President or Director positions may be eligible for Long Term Incentives. In addition, Northrop Grumman provides a variety of benefits including health insurance coverage, life and disability insurance, savings plan, Company paid holidays and paid time off (PTO) for vacation and/or personal business.
Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit http://www.northropgrumman.com/EEO . U.S. Citizenship is required for most positions."
Senior Cyber Security Analyst,TherapyNotes.com,Remote,https://indeed.com/viewjob?jk=0dd5712bac6c57aa,None,"Cyber Security Analyst, Incident Response, Cyber Technology Vendor, $130k
NDK Cyber have partnered with one the world’s leading security technology providers. We’re recruiting a Cyber Security Analyst to join the team with the remit of leading on incident response efforts and ensuring customers are utilising the software to optimal standards.
This team are making huge investments and will give access to the last tech and allow true freedom to operate as a Cyber Security Analyst as you see fit. This Cyber Security Analyst role is part of growing offering (no shift patterns or weekend work) and can offer excellent training and progression.
We’re looking for someone who’s operated in a blue team capacity, comfortable responding to incidents, analysing and investigating, threat hunting and conducting threat intelligence.
What you’ll be doing
As a Cyber Security Analyst you’ll have the opportunity to fulfil the below remit:
· Responding to incidents and conducting investigations as events happen through analysing logs from various sources.
· Ensuring the security technology provided by the organisation is performing to optimal standards with customers.
· You’ll have the opportunity to proactively threat hunt.
· Conduct open source and closed source threat intelligence.
· Work with the wider team to enhance the cyber security environment.
Skills you’ll need
· Experience working as a Cyber Security Analyst, Security Operations Analyst OR SOC Analyst would be highly preferable.
· Incident response and investigations experience.
· Threat hunting, threat research and threat intelligence skills.
· Vulnerability assessments.
· Analysing SIEM events.
· Strong understanding of networking technology.
· As much experience across the following technologies: EDR, Anti-Virus, Firewall, Network protocols, Windows security events, Phishing mitigation, WireShark, MS Office (Excel in particular).
· Familiarity with the following: Permissions management, DLP, Active Directory, VPN, Python (or any high-level programming language).
Reference ID: NC CSA
Job Type: Full-time
Salary: Up to $130,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Health insurance
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Retirement plan
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Commission pay
Work Remotely:
Yes"
Cyber Security Analyst,NDK,"Morrisville, NC•Remote",https://indeed.com/viewjob?jk=2d39ed3a3baf0863,"Up to $130,000 a year","Information Security Engineer
The Information Security Engineer is responsible for the security of Genomic Life’s computer systems and networks. The engineer implements security measures that effectively safeguard sensitive data in the event of a cyber-attack. Provide training to employees on security best practices and advise management on investments to safeguard the company’s computer and network systems.
Responsibilities:
Design computer security strategy and engineer comprehensive cybersecurity architecture.
Develop, execute and track the performance of security measures to protect information and network infrastructure and computer systems.
Identify, define and document system security requirements and recommend solutions to management.
Configure, troubleshoot and maintain security infrastructure software and hardware.
Install software that monitors systems and networks for security breaches and intrusions.
Monitor systems for irregular behavior and set up preventive measures.
Plan, develop, implement and update company’s information security strategy.
Educate and train staff on information system security best practices.
Support the communication of policies, procedures, and plans to internal stakeholders regarding security and compliance best practices around applicable laws, regulations, and controls.
Qualifications:
Bachelor of Science in Computer Science or a related field
Five or more years’ work experience as a System Security Engineer or related position
Proven experience developing, operating and maintaining security systems
Extensive knowledge of operating system and database security
Proficiency in networking technologies, network security and network monitoring solutions
Knowledge of security systems including anti-virus applications, content filtering, firewalls, authentication systems and intrusion detection and notification systems
In-depth knowledge of security protocols and principles
Critical thinking skills and ability to solve complex problems
Job Type: Full-time
Pay: $150,000.00 - $160,000.00 per year
Benefits:
401(k)
Dental insurance
Disability insurance
Employee assistance program
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Referral program
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Experience:
System security: 5 years (Required)
AWS cloud security: 5 years (Required)
Work Location:
Fully Remote
Work Location: Remote"
None,CentralSquare Technologies,+1 locationRemote,https://indeed.com/viewjob?jk=56f081f9afeb537e,"$85,000 - $100,000 a year","This role leads initiatives in risk, product security, or security operations. They are responsible for assisting in developing, executing, auditing, and maintaining security controls, defenses, and countermeasures to intercept and prevent attempts to infiltrate company data. This challenging position will work closely with all departments and 3rd Party Vendors to ensure baseline security for the organization
What You’ll Enjoy:
Full benefits package including medical, dental, and 401k plans
Paid holidays and Open Paid Time Off (PTO) policy to ensure a solid work/life balance
Paid time off to volunteer during company hours for qualifying nonprofit organizations
Comprehensive parental leave, adoption assistance, and pet insurance programs
Tuition reimbursement for approved courses
Flex Schedule
Exposure and growth opportunities within CentralSquare, and across the Vista and Bain, our private equity partners, portfolio
What You’ll Do:
Assist with annual third-party audits.
Gather evidence to support audit requirements.
Assist with the review of risk assessment results and establishing a mature risk management program.
Assist with the evaluation, onboarding, and ongoing security compliance of third-party vendors.
Perform Application Security testing as part of the development process.
Provide developer training and awareness.
Assist with data pulls for reporting product security metrics.
Manage Static and Dynamic Code analysis tools. Work with Development staff to fully integrate and utilize these tools.
Manage security event monitoring.
Manage security tools and perform tuning and maintenance.
What You’ll Need:
Bachelor’s degree in a technology field or equivalent experience
5-7 years of experience in cybersecurity and/or security auditing
Experience with active directory, firewalls, and endpoint security tools
Experience with performing third party and internal control assessments
Proficient knowledge of security control frameworks
Proficient understanding of security standards
Self-motivated, well organized, and able to prioritize tasks and work well under pressure
Strong oral, written, and interpersonal skills
Relevant security certifications
Job Type: Full-time
Pay: $85,000.00 - $100,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Relocation assistance
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Supplemental Pay:
Bonus pay
Work Location:
Fully Remote
Work Location: Remote"
Cyber Security Engineer,Softnice Inc.,Remote,https://indeed.com/viewjob?jk=8b05a98ec7ae4b42,None,"Job description:
Strong IT skills and knowledge including hardware, software and networks
Meticulous attention to detail
Ability to use logic and reasoning to identify the strengths and weaknesses of IT systems
A forensic approach to challenges
A deep understanding of how hackers work and ability to keep up with the fast pace of change in the criminal cyber-underworld
Ability to seek out vulnerabilities in IT infrastructures
Job Type: Full-time
Schedule:
8 hour shift
Experience:
Linux: 1 year (Preferred)
Cybersecurity: 1 year (Preferred)
Information security: 1 year (Preferred)
Work Location:
Fully Remote
Work Location: Remote"
None,Amazon.com Services LLC,"New York, NY",https://indeed.com/viewjob?jk=5025373d360ec8f3,None,"Bachelor’s degree in Computer Science, Computer Engineering or related field
3+ years of experience with security engineering
The Amazon Devices team designs and engineers high-profile consumer electronics, including the best-selling Kindle family of products. We have also produced groundbreaking devices like Amazon Echo, Fire tablets, Amazon Fire TV, Echo Show, Echo Spot, and more. What will you help us create?

The Role:
Amazon Devices is looking for expert Security Engineer to ensure that our applications are designed and implemented to the highest standards thus maintaining and enhancing customer trust. If you enjoy analyzing system services, operating systems, networks and applications from a security perspective, and you are skilled at discovering security issues that appear under new threat scenarios, this position will provide you with a challenging opportunity. You will participate in security audits, risk analysis, vulnerability testing and security reviews.

In this role, you will:
Identify security issues and risks, and develop mitigation plans
Architect, design, implement, support, and evaluate security-focused tools and services including project leadership roles
Develop and interpret security policies and procedures
Develop and deliver training materials and perform general security awareness and specific security technology training
Evaluate and recommend new and emerging security products and technologies
Participate in tier 2 and tier 3 security operations support
Participate in incident handling
Participate in projects that develop new intellectual property
Note: While the majority of our Security/Privacy roles are based in the Bay Area, CA and Seattle, WA areas, by applying to this position your application will be considered for all locations we hire for in the United States, including but not limited to: Seattle, WA; Bellevue, WA; Sunnyvale, CA, Austin TX.

Master’s degree in Computer Science or equivalent
Experience with service-oriented architecture and web services security
Experience with the application of threat modeling or other risk identification techniques
Development experience in C, C++ and/or Java
Experience with scripting (e.g. python, ruby, bash)
Detailed knowledge of system security vulnerabilities and remediation techniques, including penetration testing and the development of exploits
Knowledge of network and web related protocols (e.g., TCP/IP, UDP, IPSEC, HTTP, HTTPS, routing protocols)
Excellent written and verbal communication skills
Excellent leadership skills and teamwork skills
Results oriented, high energy, self-motivated
Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation/ Age

Keyword: digitalsecurity"
Cyber Security and Networking Apprentice,United States Navy Career Center South Bay,"Redwood City, CA+2 locations",https://indeed.com/viewjob?jk=77b578b9c0642d23,"$50,000 - $95,000 a year","Your Job
Indeed is seeking an Associate Application Security Engineer who is passionate about securing innovative products that scale to tens of millions of page views a day with over 180 million unique visitors per month. You will interact with partners across all technical teams: Development, Quality Assurance, IT, Operations, and Product Management.

Responsibilities (What You’ll Do)
Work with other teams to identify, resolve, and mitigate vulnerabilities in their systems
Evaluating or creating new technologies and services in order to solve complex security issues
Perform design reviews and risk assessments for new applications integrating with core services
Perform analysis of log files and data outputs. Perform triage of incoming issues using ticket tracking system
Create and maintain documentation for new and existing processes and deployments.
Who You Are
Requirements (Who You Are):
Bachelors of Science degree in Computer Science, Engineering, Computer Security, Information Systems, or related field, OR comparable level of professional experience.
Solid understanding of the shift left approach and what this means for security and development organizations.
Experience working with Static and Dynamic Analysis tooling (DAST / SAST), specifically the implementation and operations surrounding these tools. Examples Sonarqube, Veracode
Experience working with Development teams to help solve software security problems at some depth in source code.
Experience working with Application Security practices and the SDLC tool chain to implement and troubleshoot security measures.
Experience generating granular vulnerability reporting and implementing approaches to vulnerability resolution with development teams.
Scripting and automation experience in Python and a good working knowledge of other common languages.
Experience with common tools or repositories in the DevOps tool chain (Jenkins, Gitlab)
Knowledge of attack vectors (malware, web application, social engineering, etc) and attack surfaces (ports, firewalls, incoming data processing, interfaces, etc)
Hands-on experience with Linux and with network fundamentals.
Demonstrated focus in two or more of the following domains:
Incident response
Threat and vulnerability management
Cloud security (AWS, GCE)
Endpoint security
Who we are
We are builders, we are integrators. We create and optimize solutions for a rapidly growing business on a global scale. We work with distributed infrastructure, petabytes of data, and billions of transactions with no limitations on your creativity.
Our Mission
As the world’s number 1 job site*, our mission is to help people get jobs. We strive to cultivate an inclusive and accessible workplace where all people feel comfortable being themselves. We're looking to grow our teams with more people who share our enthusiasm for innovation and creating the best experience for job seekers. *comScore Total Visits, March 2019
Salary Range Disclaimer
The base salary range represents the low and high end of the Indeed salary range for this position. Actual salaries will vary depending on factors including but not limited to location, experience, and performance. The range listed is just one component of Indeed's total compensation package for employees. Other rewards may include quarterly bonuses, Restricted Stock Units (RSUs), an open Paid Time Off policy, and many region-specific benefits.
Salary Range Transparency
US Remote 90,000 - 126,000 USD per year
Equal Opportunities and Accommodations Statement
Indeed is deeply committed to building a workplace and global community where inclusion is not only valued, but prioritized. We’re proud to be an equal opportunity employer, seeking to create a welcoming and diverse environment. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, family status, marital status, sexual orientation, national origin, genetics, neuro-diversity, disability, age, or veteran status, or any other non-merit based or legally protected grounds.

Indeed is committed to providing reasonable accommodations to qualified individuals with disabilities in the employment application process. To request an accommodation, please contact Talent Attraction Help at 1-855-567-7767, or by email at TAhelp@indeed.com at least one week in advance of your interview.
Our Privacy Policy and Benefits
View Indeed's Applicant Privacy and Accessibility Policies - https://www.indeed.com/legal/indeed-jobs
Learn about our global employee perks, programs and benefits - https://benefits.indeed.jobs/"
None,NDK,"Morrisville, NC 27560•Remote",https://indeed.com/viewjob?jk=ed0c996377d869d3,"Up to $130,000 a year","THIS IS AN ENTRY LEVEL POSITION, NO TRAINING AND EXPERIENCE NECESSARY!
Cyber Security and Networking Apprentice manage communication operations and networks throughout the nation, and play a vital role in everything from network security systems to special cyber intelligence as well as information warfare systems.
This is an enlistment opportunity for the Navy. Full-time and Part-time positions currently available.
As a Computer Network and Information Technician Apprentice your job responsibilities may include:
Designing, installing and operating wide-area-networks, computer systems and associated devices
Performing network system administration, maintenance and training and manage network security
Installing applications, troubleshooting user problems and providing training and assistance with use of computer hardware and software
Writing programs to collect and distribute data for a variety of applications
Ensuring the proper security and handling of communications materials, systems and equipment
Performing diagnostics and data recovery operations and maintaining logs
Establishing, monitoring and maintaining radio frequency communication systems
Operating and maintaining global satellite telecommunications systems
Transmitting, receiving and storing all incoming and outgoing messages
Managing and coordinating information systems security across platforms
ALL ON THE JOB TRAINING WILL BE PROVIDED, as well as access to professional credentials and certifications. All Navy technical and operational training in the IT field can translate to credit hours toward a bachelor’s or associate degree through the American Council on Education.
Job Types: Full-time, Part-time, Contract
Pay: $50,000.00 - $95,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee discount
Health insurance
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Relocation assistance
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Supplemental Pay:
Bonus pay
Commission pay
Signing bonus
Application Question(s):
If requested, will you be willing to attend an 8 week basic training course, followed by 8 weeks of computer networking specialty training?
Education:
High school or equivalent (Preferred)
License/Certification:
Driver's License (Preferred)
Work Location:
Multiple locations
Work Remotely:
No
Work Location: Multiple Locations"
