Title,Company,Location,Links,Salary,Description
JUNIOR PENETRATION TESTER,Elevate,Remote,https://indeed.com/viewjob?jk=0a12694d75919f0c,$35 - $50 an hour,"JUNIOR PENETRATION TESTER
www.elevateconsult.com
ABOUT ELEVATE
Elevate is a premier consulting firm specialized in Cyber Security, IT Compliance, Privacy, Internal Audit and Process Improvement. Our team consists of self-managed, high-caliber professionals with deep skills in the Cybersecurity IT Governance, Risk and Controls. We value exceptional client service, solving and coaching our clients through complex and critical transformations and providing effective communication (both verbal & written). We are looking for a motivated, experienced and self-managed Junior Penetration Tester to join our growing Cybersecurity team.
ABOUT THE POSITION
This is a contract to-hire-position which starts at a competitive hourly rate with the opportunity to evolve into a full-time position with an annual salary and benefits for the right candidate.
Elevate is looking for a Junior Penetration Tester (“PenTest Consultant”) who possesses a broad skillset, demonstrating excellent communication and presentations skills, analytical thinking, and a desire to learn and contribute to our Cybersecurity team. The Junior Penetration Tester will support assessments of clients where the primary goal is to penetrate our client’s network, applications, and/or operating systems by using your advanced knowledge of manipulation and exploitation of misconfigurations. Our ideal candidate will be able to think and work creatively, both in teams and independently. We seek individuals who enjoy learning to add to their skillset to quickly problem-solve tough solutions.
The role interacts frequently with clients, engagement team, and the firm’s leadership team.
RESPONSIBILITIES AND QUALIFICATIONS
Required General Skills/Knowledge
Familiarity and wiliness to learn how to perform white and grey box penetration testing and system exploitation against desktops, servers, web applications, wireless, operating systems, and physical security systems including security assessment
Familiarity and wiliness to learn how to analyze vulnerabilities and delivering clear and coherent written reports, identifying network, web application and other systems risks and providing mitigation recommendations as well as developing automation/scripts for replicating vulnerability validation and penetration tests
Demonstrate proper business etiquette, high level of professionalism, and strong work ethic
Strong proficiency with Microsoft Windows, Mac OS, and the Microsoft Office suite of products, (i.e., Word, Excel, Visio, PowerPoint, MS O365, MS Teams)
Self-managed and possesses critical thought, most of our report templates are customized for our clients. We do not “cut and paste” from standard templates and we always document the work we perform. Must be able to understand client needs, seek clarification and perform independent research
Transparent reporting which can include a forecasted schedule submitted weekly, accurate and daily time reporting and project budget reporting and managing skills.
The candidate must have excellent verbal and written communications skills in order to be able to convey the risk and impact of the findings to technical and non-technical stakeholders.
Experience working in Financial Services, Banking, Healthcare, Technology and other industries – preferred
Excellent client service and project management skills (i.e. provide weekly status updates, track progress in manner of % of completion based on progressed made toward client deliverables)
Ability to travel up to 10% post COVID-19, when travel restrictions are lifted
Be a team player who thrives on collaboration
Strong analytical and communications (written and oral) skills
Spanish and other second languages are a plus. Must demonstrate high proficiency in writing, reading and speaking in proper English
Required Technical Skills/Knowledge
Conduct security assessments on a wide variety of technologies and implementations
Simulate sophisticated cyberattacks for clients worldwide
Understand how to identify, exploit, and remediate common application vulnerabilities through use of tools and code review. Network penetration testing and manipulation of network infrastructure.
Knowledge in the use of penetration testing tools and methodology to test new applications and services
Enforce secure development standards and requirements
Demonstrated knowledge of vulnerability and penetration testing processes, Experience with Commercial tools Burp Qualys, Metasploit, Cain and Abel.
Clear understanding of documenting findings and ability to report on findings.
Perform research on new security trends, tools, and techniques to improve existing processes
Ability to utilize technical tools (online and otherwise), analyze the results of scans and other technical reports and the ability to research and expand personal technical knowledge when needed
Experience:
2+ years in Penetration / Vulnerability Testing (even if just scenario / lab testing)
Experience conducting penetration and malicious user testing in Cloud environments, including Amazon Web Services (AWS), Azure, and on-premise systems
Experience with Cloud native apps and APIs
Intermediate to advance knowledge of various Penetration testing frameworks
Intermediate to advance knowledge of networking operations such as WAFs, Firewalls, and Transport layer Protocols,
Intermediate to advance knowledge of programming languages such as C, Java, .MS SQL, SQLi and ability to code review
Knowledge of Windows/AD/Linux systems administration and vulnerabilities
Experience working with diverse teams, stakeholders, levels of management and expertise in many areas
Experience working with diverse IT teams (Engineers, Data Admins, Security, etc.), client stakeholders (Directors, VP, and Chief Officers of IT), as well as levels of upper management
Education:
Actively enrolled in college courses and working towards Bachelor's Degree, in Cyber Security, Computer Science or IT Information Management
Working towards or more security certifications: OSCP, LPT, CPT, CEH, CEPT, CMWAPT, CRTOP, Comp TIA PenTest+, GPEN
Elevate Culture:
Who we are…We promote ""Remote First Culture""
We overcommunicate - have daily stand ups if necessary - weekly - bare minimum to talk about what you're working on
Repeat via email / teams follow up tasks assigned and what we agreed you're working on
Get it done mentality – “not my job” is not tolerated, we all pitch in where we can to provide exceptional client service. At the end of the day, it’s all about serving our clients and making the team successful
Core Requirement: continuous, transparent communication, relentless pursuit to meeting deadlines and leveraging the team – no one person is a hero, we are a team and we win and fail together
We work together as a team. We work hard but have fun. We thrive in transparency and allow flexibility – all the culture benefits of working for Elevate that distinguish us from our competitors. We are in high growth mode and are a flat organization – lots of upward movement.
Travel Requirements
This is a flexible/remote position that may require travel to clients – post COVID 19 travel restrictions
Benefits
We pay well for high performers. We offer a competitive compensation package and with a flexible schedule. We do not micro-manage hours, so long as you provide on-time, quality service and deliverables to our clients.
This is a growth position, starting as a temporary-to-permanent position that offers a competitive compensation package at an hourly billable rate. The Junior Penetration Tester Consultant is intended as a growth position that may evolve into a fulltime salary position that is eligible to participate in a bonus program as well full health & wellness benefits, employee discounts and paid vacation.
A major benefit offered to all associates is working in our “politic-free” work environment.
Job Types: Full-time, Part-time, Contract, Temporary
Pay: $35.00 - $50.00 per hour
Schedule:
8 hour shift
Monday to Friday
Application Question(s):
Will you now or in the future require Elevate to commence (“sponsor”) an immigration case in order to employ you (for example, H-1B or other employment-based immigration case)?
Do you currently have or working towards any of the following: OSCP, LPT, CPT, CEH, CEPT, CMWAPT, CRTOP, Comp TIA PenTest+, GPEN? Please specify.
Do you have intermediate to advanced knowledge of any of the following languages: C, Java, .MS SQL, SQLi? Please specify.
Experience:
Penetration Testing/Vulnerability Testing: 2 years (Required)
Cloud native Apps and APIs: 2 years (Required)
Work Location:
Fully Remote
Work Location: Remote"
Junior Penetration Tester USA Remote,BreachLock,Florida•Remote,https://indeed.com/viewjob?jk=1c98609eab9789cc,None,"The Penetration Testing professional should have a basic understanding of vulnerability assessments, penetration testing, and professionally relaying technical vulnerabilities and their impact to technical and non-technical customers. The consultant would perform various penetration testing assessments for Verizon’s enterprise customers as an individual contributor or as part of a team delivering the assessment. The assessments that would be delivered would either be remote or onsite at a customer location. For the remote assessments the consultant would telecommute from their home office connecting into Verizon’s attack lab to perform assessments, or for internal assessments travel to the designated customer locations. The consultant should be comfortable identifying vulnerabilities, exploiting vulnerabilities as well as learning from the penetration testing team on how to perform post-exploitation activities and explaining the path to compromise to external and internal stakeholders. The consultant should have a basic understanding of how to perform these activities manually and also leveraging automated tools.
Must Haves:
Background in Enterprise network, application, and wireless security testing
1-3 years experience performing application, mobile application, and wireless penetration testing
3-5 years of experience in vulnerability assessment and penetration testing
4-6 years in Information Technology.
Plusses:
Certifications: OSCP/CEH/OSWP/OSCE/OSEE/OSWE/CISSP)
Education: degree from a 4 year University preferred but not required.
Job Types: Full-time, Contract
Pay: $35.00 - $45.00 per hour
Benefits:
401(k)
Health insurance
Schedule:
8 hour shift
Monday to Friday
Work Location:
Fully Remote
Work Location: Remote"
Red Team - Penetration Tester,"Simplicity, LLC.",Remote,https://indeed.com/viewjob?jk=1256f1d0f5d5af0c,"$75,000 - $90,000 a year","Who are we?
BreachLock is a security startup that offers a unique SaaS platform delivering on-demand, continuous, and scalable security testing suitable for modern cloud and DevOps powered businesses. The BreachLock platform leverages both human-powered penetration testing and AI-powered automated scans to create a powerful and easy to use solution that delivers continuous and on-demand vulnerability management. BreachLocks’s modern SaaS-based approach redefines the old school and time-consuming pen test model into fast and comprehensive security as service. As a result, CIO’s and CISO’s get a single pane view into their application and network security posture. The BreachLock platform facilitates collaboration between your DevOps and BreachLock security researchers, empowering them to fix security gaps at the speed of business.
Some of our achievements include:
One of the fastest-growing SaaS companies in Cyber Security.
Cyber Security Innovator for Analysis and Testing category 2019 – SC Magazine.
Top 10 Vulnerability Management Solution for 2019 – Enterprise Security Magazine.
Most promising Cyber Security startup 2019 – CIO Review.
Cyber Security Innovator for the year 2019 – Mirror Review.
Top 10 Vulnerability Assessment vendor in Gartner Peerinsights
Who you are
You want to work with global leaders in Cyber Security
Have a passion for various disciplines of Cyber Security
Have track record that proves you have invested time in research and learning about security via:
Writing blogs, articles, research papers
Bug bounty
Attended training related to Cyber Security
Have certifications like CEH or ISO 27001
Have developed projects using AI, Machine Learning or Machine Learning technologies
About the opportunity
Functions you will perform may include one or more of the following:
Technical writing
Security analysis
Documentation
Manual Testing of inhouse products
Security Research
Competitor analysis and Testing of various security products
Penetration Testing
Vulnerability scanning
Python development
AI, Machine Learning research

You are based in the United States and can work without additional sponsorship/VISA
This is a telecommute and remote position
You work on a flexible schedule and manage your deliverables
You get support from our security experts to learn our processes and perform your day to day activities
You will get an opportunity to test your limits in this promising startup
You will be working alongside international experts
Industry-standard financial benefits
Strong career prospects in an early-stage startup
You get a chance to continue as an employee based on your performance as a trainee"
Penetration Tester,Creative Visions,"Washington, DC•Remote",https://indeed.com/viewjob?jk=c52fc17b016d03d5,None,"Fort Mill, SC, Carrollton TX – Primarily Remote /w 20% travel annually
This is a fast track hire (6mth to hire). See major requirements to consider below:
· Position will require 70% Business / 30% Technical covering VM and AppSec
· Demonstrates the ability to manage various security solutions
· Provide technical/management leadership on security testing assignments (SME)
· Minimum experience(actual work experience) in the field is 5 years (No exceptions)
· Ability define security scope while aligning with industry best practices
·
POSITION SUMMARY:
Individuals within the Information Security Office plan, execute, and manage multi-faceted projects related to cyber security to detect, prevent and respond to threats that is affecting the company. Individual should have a mindset of a defender and should be able to operate in a fast-paced environment working closely with our support teams which includes Network, Firewall, Server and Application development teams. These professionals work directly with the customers, third parties and other internal departments and organizations to facilitate information security management processes and to identify vulnerable areas. They also communicate and educate IT and the business about security policies and industry standards, and provide solutions for enterprise/business security issues.
PRIMARY DUTIES AND RESPONSIBILITIES:
· Be able to handle the most dynamic and challenging scenarios encountered by the program and assist other analysts by providing direction and guidance when necessary.
· Perform Vulnerability Metrics Reporting for Ad-hoc and scheduled metrics report for various KPIs around vulnerability management activities
· Perform in-depth analysis of red team engagements results and provide a detail report that describes findings, exploitation procedures, risks and recommendations.
· Responsible to identify and exploit security vulnerabilities in a wide array of solutions in a variety of situations.
· Execute penetration testing projects using the established methodology, tools and rules of engagements.
· Design security test cases with the intent to exploit security-protected applications
· Respond to questions from stakeholders about security assessment reports.
· Collaborate with support groups/stakeholders on details about identified vulnerabilities.
· Make recommendations on how we can improve application and network security assessment processes (Security tools, automation, delivery)
· Analyze business policies for effectiveness, make suggestions on security policy improvements, and enhance security testing methodology material.
· Stay up to date on latest vulnerabilities and potential impact to AmerisourceBergen environment, as new vulnerabilities are released, must stay on top of information related to them and how they may impact AmerisourceBergen
· Testing application code level vulnerabilities using penetration testing methodologies
· Maintain day-to-day relationship with security and services partners * Develop security solutions for critical and/or highly complex assignments.
· Develop remediation strategies and risk responses associated with the protection of infrastructure and information assets.
· Ability to work independently taking initiative and as part of a team participating in a collaborate effort for a common goal.
· Mentors less-experienced team members.
EXPERIENCE AND EDUCATIONAL REQUIREMENTS:
· Bachelor’s Degree in Computer Science, CyberSecurity or other related field, or equivalent work experience.
· Experience in application and network security testing
· Typically requires at least 8 years of combined IT and security work experience with a broad range of exposure to systems analysis, application development, systems administration and over 5 years’ experience in conducting penetration testing.
· Requires Security Certification(s) (i.e., Certified Information Systems Security Professional (CISSP), or Certified Information Security Manage (CISM) or Certified Ethical Hacker (CEH), Offensive Security Certified Professional (OSCP), eLearnSecurity Web application Penetration Tester (eWPT)or other equivalent recognized security certifications (OSCP & eWPT is major plus)
· Familiarity with programming languages (such as SQL, C ++, JavaScript, Ruby, .Net, Java, Apex, ABAP, and Python)
· Working knowledge with open-source security tools (Burp, Nmap, SSlscan, Sqlmap, Nikto, Metasploit, etc.) and COTS (WebInspect, Fortify, Qualys, Tanium)
· Familiar with OWASP Top 10 Methodologies
· Familiar with SANS Top 25 controls
· Familiar with Penetration Testing Standards
· Familiar with MITRE ATTACK framework
MINIMUM SKILLS, KNOWLEDGE AND ABILITY REQUIREMENTS:
· Great attitude to help, learn and grow, excitement is always welcome
· Experience applying structured analytical methodologies in effort to solve complex security engagements
· Experience with Red and Blue teaming or equivalent
· Solid understanding of vulnerabilities reported and the ability to conduct impact analysis of security threats
· Familiarity with latest security vulnerabilities, advisories, incidents, penetration techniques, attack vectors, and countermeasures.
· Demonstrated sound understanding of at least 3 of the following standards such as ISO 27001/27002, COBIT, ITIL, NIST, HIPAA, SOX and PCI
· Ability to lead and provide direction to project teams
· Strong consultative skills; ability to interface effectively with technical and non-technical leaders.
· Understands Information Security as it relates to the business and other areas of IT; understands direct impacts and risks.
Job Types: Full-time, Contract
Salary: From $80.00 per hour
Schedule:
8 hour shift
Experience:
Overall: 10 years (Required)
Work Location:
Fully Remote
Work Location: Remote"
Penetration Tester,TechTrueUP,Remote,https://indeed.com/viewjob?jk=d344378f0a869289,$45 - $50 an hour,"Summary:
The Penetration Tester role will work with our operations team to assist in providing penetration testing and consulting to our client base which is primarily Healthcare. We are looking for a mid-senior level resource to help lead and grow the red team services. The role can be flexible on hours and all work is performed remotely.
Duties and Responsibilities:
Perform open-ended external penetration testing against Healthcare client-base to accurately document and report on findings and recommendations.
Assist with daily operations of various managed services such as Monitoring, Scanning, Assessments, or Penetration testing, as needed.
Communicate professionally with client base, including presentation of reports or findings.
Work with operations team to help develop and grow services.
Be reliable and dependable while working from home and under minimal supervision.
Experience and Qualifications:
Experience with red team or offensive security tools such as BurpSuite, Nessus, Mimikatz, Metasploit, and similar.
Information Technology and Security certifications such as Security+, CEH, GIAC, OSCP, or similar preferred.
At least 5 years of experience in red team or offensive security operations, including pentesting.
Candidate should be driven to learn and grow into the field of information security.
Healthcare related experience strongly recommended.
Experience with Information Systems to include infrastructure, networking, applications, and common solutions.
Job Type: Full-time
Pay: $75,000.00 - $90,000.00 per year
Benefits:
401(k)
Dental insurance
Flexible schedule
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Education:
High school or equivalent (Preferred)
Experience:
Information Security: 5 years (Preferred)
Penetration testing: 3 years (Preferred)
Healthcare: 2 years (Preferred)
License/Certification:
Offensive Security Certification (Preferred)
Work Location:
Fully Remote
Work Location: Remote"
Penetration Tester (remote),Fast AF,"San Francisco, CA•Remote",https://indeed.com/viewjob?jk=e52b91673b7586f7,None,"Job Details:
In this vital role you will ensure that flaws in Amgen's systems and applications are detected and remediated.
Define, lead and execute red team/blue team exercises, targeted adversarial operations and yearly penetration testing strategy
Management of technologies and processes relating to above activities including issue identification and resolution, integration with other tools, documentation, gap assessment, gap resolution and continuous improvement of the service
Develop or participate in the development of business cases and presentations on information security technologies of interest to Amgen
Advise project teams, application owners, and other Information Security teams on information security controls
Perform security design consulting in support of projects
The creative professional we seek is a self-driven ethical hacker with these qualifications.
Excellent analytical and troubleshooting skills
Must be team-oriented, placing priority on the successful completion of team goals
Self-starter with a high degree of initiative
Strong understanding of enterprise technologies such as Windows Server, Active Directory, UNIX, SAP, Amazon Web Services, Azure, etc.
Strong demonstrated knowledge and experience identifying and responding to threats specifically on ethical hacking solutions such as Kali, PentTestBox, Metasploit, etc. and methodologies such as OWASP
Extensive background in identifying threats and data exposure using Open-Source intelligence (OSINT) techniques
Practical Knowledge of Information Security standards and policies like ISO 27001/27002, NIST, and others
Preferred certifications: GCIA, GPEN,
GWAPT, GCIH, GSEC, OSCP, OSCE, OSCP
Top 3 Must Have Skill Sets:
Ethical Hacking
OWASP
Web Application Testing
Job Types: Full-time, Contract
Salary: $45.00 - $50.00 per hour
Schedule:
8 hour shift
Experience:
Ethical Hacking: 3 years (Required)
OWASP: 3 years (Required)
Information security: 3 years (Required)
Web Application Testing: 3 years (Required)
Work Location:
Fully Remote
Work Location: Remote"
(Remote) Penetration Tester,Surf Wave Tech,"Independence, KS•Remote",https://indeed.com/viewjob?jk=3a76fdeeff7ea853,None,"Our cybersecurity company is seeking a passionate Cybersecurity Penetration Tester with a focus in Web Applications. You will not get bored in our fast-paced work environment! Successful team members strive for excellence in their role and in their personal lives by meeting challenges with a can-do attitude, but also understand life balance and the importance of fun. Our office is located in the heart of downtown Missoula and we encourage our in person team to take advantage!
To learn more about how you may be able to fit into our team please see the responsibilities and requirements listed below. If you think you are our ideal candidate apply today!
Essential Functions:
Conducting tests on applications and networks: Design and conduct tests to break into networks, computer systems and web-based applications to look for vulnerabilities. This includes penetration tests, red team tests, vulnerability assessments, web application assessments and more.
Social engineering tests: Conduct remote and onsite assessments of the ""human firewall,"" using phishing, phone, and physical methods (onsite currently suspended due to COVID).
Security assessments: Conduct security, network and cloud assessments to evaluate how well an organizations system conforms to a set of established criteria. This will help pinpoint ways that attackers could exploit weaknesses in security systems.
Writing security assessment reports: While conducting your research and tests, you will have to document your findings, write security reports, and discuss solutions with IT and management teams. Develop meaningful metrics to reflect the true posture of the environment allowing the organization to make educated decisions based on risk.
Innovation: Cybersecurity is constantly changing. A key part of your role is innovating new methods of penetration testing, keeping existing services up-to-date, and developing new penetration testing services.
Automating and increasing efficiency: Support team efforts to leverage tools and develop effective processes for automating components of testing and report generation.
Prior to COVID, this position required 25% travel. Currently all consultants are working remotely and not traveling. We do expect to see some travel required as part of this position in the future.
Education/Experience:
2-5 years experience as an IT or cybersecurity professional preferred
Familiar with vulnerability scanning, discovery, and remediation
Strong UNIX command-line skills
Strong understanding of Windows and Active Directory
Social engineering, coding proficiency, code review and threat hunting experience desirable Red teaming experience extremely desirable
College degree required
Skills:
Excellent written and oral communication skills
Team player with positive attitude
Proven ability to take initiative and follow-through on projects independently
Effective and efficient time management and ability to multitask
Willingness to learn new technologies and grow
Ability to work in a fast-paced, high-tech environment
Ability to meet deadlines
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Retirement plan
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Supplemental Pay:
Bonus pay
Education:
Associate (Preferred)
Experience:
Cybersecurity: 2 years (Preferred)
penetration testing in web applications: 2 years (Preferred)
Work Location:
Fully Remote
Work Remotely:
Yes
Work Location: Remote"
Cybersecurity Penetration Tester-Web Applications,LMG Security,Remote,https://indeed.com/viewjob?jk=f307edf6b8a682c0,None,"Creative Visions is seeking a motivated, career and customer-oriented Penetration Tester to join our team and provide unparalleled support to our customer and to begin an exciting and rewarding career. The Penetration Tester will be responsible for performing security tests to ensure the integrity and protection of networks, systems, and applications through the use of formal event and incident management technologies, tools, and processes. The ideal candidate will have a basic understanding of cyber threats, information security, security monitoring, threat detection, incident response, and incident handling by performing hands-on penetration testing and vulnerability assessment functions.

Testing includes web application assessments, static code review and analysis, mobile (iOS, Android), wireless assessments, SCADA, and infrastructure assessments.
Develop and document security evaluation test plans and procedures.
Provide technical expertise and guidance in developing and supporting business applications to ensure they are deployed securely.
Responsible for aligning industry best security practices and technology solutions with business strategies.
Maintain knowledge of current security tools and industry best practices: tools, techniques, procedures, tactics, attacks and forensics.
Conduct hands-on security testing, analyze test results, document risk, and recommend countermeasures.
Coordinate with other program elements while conducting security testing.
Assess/calculate risk based on threats, vulnerabilities, and shortfalls uncovered in testing.
Monitor, configure and maintain automated and manual tool data interfaces, including export/import, published APIs, and third party connectors.
Prioritize and perform advanced troubleshooting activities, including rapid installation and configuration of test systems.
Manage, under general supervision, the full life cycle of alerts and notifications through event and incident ticket tracking, reporting, and close-out.
Document all actions taken as part of security event and incident analysis and investigation.
Identify and communicate current and emerging security threats
Assist with the identification, creation, and refinement of the team’s processes and procedures and ensure that these are fully documented as part of the team’s operational run-book.
Work collaboratively with team members in other functional areas (Engineering, CST) and Agency representatives to achieve program outcomes
Participate in technical discussions to elicit and communicate technical resource requirements."
None,Accenture,"Tallahassee, FL 32311+5 locations",https://indeed.com/viewjob?jk=fa02ea37349459bc,None,"Red Team Operator/Penetration Tester
This person will be on site 2 days a week and remote the rest.
Location: Alexandria, VA
Overview:
We are currently seeking a motivated, career and customer oriented Red Team Member/Penetration Tester to support our client remotely.
Must possess minimum of 5 years red team/penetration testing experience. This is an actual red team/penetration testing position, and you will be doing ""real world"" assessments against a live, complex information infrastructure.
You must possess strong fundamental cybersecurity skills and knowledge (i.e. networking fundamentals including all OSI layers, basic protocols such as TCP, UDP, HTTP, SMTP, SSL, etc., various security technologies such as Firewalls, IDS/IPS, Web Proxies and DLP, Windows and *NIX operating systems to include boot process through understanding of the execution flow of boot time processes, software exploitation such as web, client-server, mobile, and wireless, on modern operating systems and familiarization with XSS, SSJS, filter bypassing, SQL Injection, as well as common reconnaissance, exploitation, and post exploitation frameworks).
Responsibilities:
Conduct targeted penetration tests and exploitations without use of automated tools against ""real world"" targets.
Research new tools, techniques, countermeasures and trends in network vulnerabilities, data hiding and general network security concepts.
Assist in deterring, identifying, monitoring, investigating, and analyzing computer network intrusions.
Be a ""team player"", willing to share best practices and always strive for improvement.
Be highly skilled in both written and verbal communication. You will be briefing key stakeholders and will be writing comprehensive reports regarding computer forensic and intrusion / analytical findings.
Assist in deterring, identifying, monitoring, investigating, and analyzing computer network intrusions
Be familiar with interpreting log output from networking devices, operating systems, and infrastructure services.
Be familiar with common reconnaissance, exploitation, and post exploitation frameworks.
Be highly motivated and a self-started.
Possess and maintain an OSCP certification (other related certs will be considered, such as CEH, GPEN, etc.).
Have and develop knowledge of malware packing and obfuscation techniques.
Preferred but not mandatory:
Possess a bachelor's degree in Engineering, Business Management, or Technology related fields
Possess the ability to automate tasks using a scripting language (Python, Perl, Ruby, etc.)
Requirements:
Strong analytical and creative problem-solving skills.
Strong communication skills.
Strong interpersonal skills to interact with customers, senior level personnel, and team members.
Strong organization skills to prioritize work and balance complex projects.
Ability to work independently and as part of a team.
Ability to accept constructive feedback and implement changes immediately.
Proficiency in Microsoft Office Suite.
Job Type: Full-time
Salary: $80.00 - $85.00 per hour
Schedule:
8 hour shift
Monday to Friday
Experience:
Linux: 1 year (Preferred)
Cybersecurity: 1 year (Preferred)
Information security: 1 year (Preferred)
Work Location:
One location
Work Remotely:
Temporarily due to COVID-19
Work Location: One location"
Penetration Tester (remote),Creative Breakthroughs Inc,"Ferndale, MI 48220•Remote",https://indeed.com/viewjob?jk=c37fc146ece423c2,None,"Company Description

FireEye is the intelligence-led security company. Working as a seamless, scalable extension of customer security operations, FireEye offers a single platform that blends innovative security technologies, nation-state grade threat intelligence, and world-renowned Mandiant® consulting. With this approach, FireEye eliminates the complexity and burden of cyber security for organizations struggling to prepare for, prevent, and respond to cyber attacks. Learn more about FireEye's world-class solutions and global footprint at https://www.fireeye.com/company.html.

Job Description

A successful Red Team consultant at Mandiant should possess an understanding of both information security and computer science. They should understand basic concepts such as networking, applications, and operating system functionality and be able to learn advanced concepts such as application manipulation, exploit development, and stealthy operations. This is not a “press the ‘pwn’ button” type of job; this career is technical and challenging with opportunities to work in some of the most exciting areas of security consulting on extremely technical and challenging work. A typical job could be breaking into a segmented secure zone at a Fortune 500 bank, reverse engineering an application and encryption method in order to gain access to sensitive data, all without being detected. If you can exploit at scale while remaining stealthy, identify and exploit misconfigurations in network infrastructure, parse various types of output data, present relevant data in a digestible manner, think well outside the box, or are astute enough to quickly learn these skills, then you’re the type of consultant we’re looking for.
As a Mandiant consultant, you’ll get hands-on experience with complex problems on a daily basis. We help our clients protect their most sensitive and valuable data through comprehensive and real-world scenario testing. The objective doesn’t end at gaining “domain admin” or “root”; this is expected and is only a starting point.
You are expected to quickly assimilate new information as you will face new client environments on a weekly or monthly basis. You will be expected to understand all the threat vectors to each environment and properly assess them. You will get to work with some of the best red teamers in the industry, causing you to develop new skills as you progress through your career. Are you up to the challenge?
What You Will Do:
Perform network penetration, web and mobile application testing, source code reviews, threat analysis, wireless network assessments, and social-engineering assessments
Develop comprehensive and accurate reports and presentations for both technical and executive audiences
Effectively communicate and discuss findings and strategy with internal stakeholders including leadership and technical team members
Recognize and safely utilize attacker tools, tactics, and procedures
Develop scripts, tools, or methodologies to enhance Mandiant’s red teaming processes

Qualifications

Minimum Requirements:
1+ years’ experience, via internships, classes, projects and similar, in at least three of the following:
Network penetration testing and manipulation of network infrastructure
Mobile and/or web application assessments
Email, phone, or physical social-engineering assessments
Shell scripting or automation of simple tasks using Perl, Python, or Ruby
Developing, extending, or modifying exploits, shellcode or exploit tools
Developing applications in C#, ASP, .NET, ObjectiveC, Go, or Java (J2EE)
Reverse engineering malware, data obfuscators, or ciphers
Source code review for control flow and security flaws
1+ years’ exposure working with tools used for wireless, web application, and network security testing
Understanding of network protocols, data on the wire, and covert channels
Understanding of Unix/Linux/Mac/Windows operating systems, including bash and Powershell
Must be eligible to work in the US without sponsorship
Preferred Qualifications:
Prior experience in a technical security internship
Experience in security competitions, CTFs and/or testing platforms such as Hack the Box, TryHackMe, Overthewire, etc
Related projects around cybersecurity, programming, etc
Strong technical acumen and ability to quickly assimilate new information
Ability to successfully interface with clients (internal and external) and manage expectations of others
Ability to document and explain technical details in a concise, understandable manner

Additional Information

At FireEye we are committed to our #OneTeam approach combining diversity, collaboration, and excellence. All qualified applicants will receive consideration for employment without regard to race, sex, color, religion, sexual orientation, gender identity, national origin, protected veteran status, or on the basis of disability."
